commentID;comment;assessment
1;In my 30-year career, I’ve more never been proud and honored to carry and give a business card.;positive
2;They will have to burn the building down before I will leave...and even then, I may just work in the ashes.;positive
3;I’m surrounded by people who want to work and who love what they do. The energy that comes from that is like magic in a bottle.;positive
4;This is the second love of my life.;positive
5;I have been an employee here for 45 years and will stay to my last moments.;positive
6;For personal reasons I have been forced to seek employment in another state, and will probably need to leave. This makes me incredibly sad, as it really is the best place to work. After many interviews, I can already see that other companies will not have nearly the same benefits and culture as my company. Even my management, when I told them that I needed to start looking elsewhere, were happy to offer whatever assistance they could in helping me. They are even considering opening a new branch office in the city where I need to go. How much better can a company be??;positive
7;Happy employees don't go looking for other opportunities;positive
8;These folks walk the walk. Seriously. Truly a company of great people.;positive
9;Having this job has changed my life;positive
10;I’ve been working for this company for only two years, and I can honestly say that I do see this company as my last employer.;positive
11;What I cherish is that everyone takes this on with the same vigor and ‘make it happen’ spirit, so you’re never alone in your daily efforts. One team, one goal!;positive
12;I feel challenged to put forth my best work 100% of the time and know that the success of the company rests on all of our shoulders.;positive
13;This company is amazing. One of the things I truly appreciate is that leaders are primarily focused on finding only the best people to join the team. They take the time to hire intelligent, driven, and creative individuals, and it’s a pleasure working alongside each and every one of them.;positive
14;This office is without question closer than some families.;positive
15;There is never a day that goes by without at least one senior manager asking me how I am doing. That in itself is awesome!;positive
16;I have been with my company for 20 years. Most of my coworkers in my immediate group have been here 10-30 years! The tenure is long because we work for a company that appreciates us and rewards us daily both in the type of work that we do and the benefits and pay we receive.;positive
17;I cannot think of a better, more efficiently-run company to work for. I have been here 25 years and every year has been awesome!!!;positive
18;The interviewing process here was extensive, but I realize the importance of finding just the right person to not only to fit the criteria for work, but as a person. I am truly blessed to be a part of a place like this!;positive
19;I have a lot of friends that have gone to other organizations thinking the grass is always greener. I’m amazed at how regularly they say, ‘I made a mistake’ or ‘I wish I could come back.’ Having the perspective of working for different companies before coming here eight years ago, I can happily say that there’s no place I’d rather be.;positive
20;I’m honored to work for a company that lives the values it places on the walls.;positive
21;This is really the best place I’ve ever worked. My team is great. My boss is great. The work is great. And, I can still make time for my private life, friends, and family. It doesn’t get any better.;positive
22;I have only worked here for a little over two years, but my coworkers are like my family. They have mentored me, helped me grow, and watched me succeed as well as fail. I feel more than a professional attachment to this company - I feel a personal attachment.;positive
23;There is a genuine spirit of camaraderie here. We enjoy working hard and playing hard together. We laugh, share joyous moments, and share in grief when tragedy touches one of our own.;positive
24;Our leaders are focused on finding only the best people to join the team. They take time to hire intelligent, driven, and creative individuals, and it’s a pleasure working alongside each and every one of them.;positive
25;This organization is the best work environment that I have ever had the privilege of being associated with. The management team cares about their employees and about the business as a whole. The work done at this organization is breathtaking and amazing.;positive
26;This organization does not care about the employees.;negative
27;I want out.;negative
28;It honestly feels as if the company wants us to leave, and if we don’t leave on our own accord the company will force us to eventually.;negative
29;It’s very hard to come to work every day with a smile on your face when you know your work counts for nothing except for management’s bonuses and pizza or ice cream or something totally insulting.;negative
30;Talent is leaking out of this company.;negative
31;Some people are actually afraid of management;negative
32;This company is too unpredictable. I always feel layoffs are around the corner.;negative
33;This is not a best place to work. The senior leadership lacks ethics and morals.;negative
34;Please consider researching the amount of employees who are out on medical leave... Aka stress leave.;negative
35;Morale in our company is very low employees are having nightmares and are afraid to come to work.;negative
36;Where i come from actions speak louder than words you can talk about valuing employees all you want, but when you lay people off, give them little to no raises, and spend your time and effort praising fake successes, it rings hollow.;negative
37;This company is part of a long downhill death;negative
38;If you aren’t in the in crowd, good luck. They only promote those they can manipulate;negative
39;Stop firing people under the pretense of reorganization only to post those same positions.;negative
40;Keep your mouth shut, show up, & don't rock the boat;negative
41;The VP of HR does not give her time for anyone, as if she is god. We beg for opportunities to speak with her, and we are ignored.;negative
42;There is a lot of nepotism & favoritism at this company. Paths to;negative
43;Advancement is unclear. It appears to be primarily a buddy system. It is so bad, that I’ve gotten to the point where i no longer hope for advancement and have decided to just consider this a means to an end.;negative
44;This place sucks! They do not care about customers or employees. It is not safe for customers because management is cutting corners.;negative
45;Please get our place clean. It is filthy and has been for the past year. I am embarrassed to have anyone know i work in such a filthy place. And you ask if this is the best place to work? Please.;negative
46;Upper management in my office tends to talk down to employees, and has a mindset that all employees are replaceable.;negative
47;I am nothing but a number here.;negative
48;My manager mistreats the staff and bullies people when she is in a bad mood and targets people. That is why people have left. I wish someone in management would help us.;negative
49;My managers/supervisor treat us like we’re robots we are real humans...with lives and families outside of work.;negative
50;This is the best company I’ve worked at, because we believe in people over profits.;positive
51;The benefits that come from working here are above and beyond the monetary rewards we receive.;positive
52;I have received more positive feedback and recognition here than anywhere else in my life. My personal confidence level has gone up considerably. I love it here!;positive
